Q2_log_center,W2_center,t_center,logA
0.0,80.0,-0.05,-2.1337566693478514
0.0,80.0,-0.060000000000000005,-1.8559415553396887
0.0,80.0,-0.06999999999999999,-1.606998711710996
0.0,80.0,-0.08,-1.4787968855484905
0.0,80.0,-0.09,-1.3225055147972484
0.0,80.0,-0.09999999999999999,-1.2123202808903362
0.0,80.0,-0.11,-1.1104293563311045
0.0,80.0,-0.12,-1.0604109868896296
0.0,80.0,-0.13,-0.9693129841468476
0.0,80.0,-0.14,-0.9526026525279614
0.0,80.0,-0.15000000000000002,-0.9592821362070265
0.0,80.0,-0.16,-0.9463594703025979
0.0,80.0,-0.17,-0.929615648714521
0.0,80.0,-0.18000000000000002,-0.9420237429828673
0.0,80.0,-0.19,-0.9544111320269661
0.0,80.0,-0.2,-0.9840531480180633
0.0,80.0,-0.21000000000000002,-1.0943753273620014
0.0,80.0,-0.22,-1.1952125690748305
0.0,80.0,-0.23,-1.303480149778309
0.0,80.0,-0.24000000000000002,-1.3539647240984478
0.0,80.0,-0.25,-1.4877136630567767
0.0,80.0,-0.26,-1.6063719407898953
0.0,80.0,-0.29083333333333333,-2.1055005271027474
0.0,80.0,-0.32166666666666666,-2.8032019492913447
0.0,80.0,-0.35250000000000004,-3.8649005733838564
0.0,80.0,-0.38333333333333336,-6.0987126195336545
0.0,80.0,-0.4141666666666667,-6.593241555992507
0.0,80.0,-0.445,-4.511158197593447
0.0,80.0,-0.47583333333333333,-3.7255567385754245
0.0,80.0,-0.5066666666666667,-3.3065765754637053
0.0,80.0,-0.5375000000000001,-3.1225447782801137
0.0,80.0,-0.5683333333333334,-3.064322340483359
0.0,80.0,-0.5991666666666666,-3.2016098228333085
0.0,80.0,-0.63,-3.4075397572776085
0.0,80.0,-0.6608333333333334,-3.785642172611208
0.0,80.0,-0.6916666666666667,-4.299228125528536
0.0,80.0,-0.7225,-5.009202660774576
0.0,80.0,-0.7533333333333334,-6.105338155072229
0.0,80.0,-0.7841666666666667,-8.331555257603245
0.0,80.0,-0.8150000000000001,-8.664414459251766
0.0,80.0,-0.8458333333333333,-6.609444185273957
0.0,80.0,-0.8766666666666667,-5.861815818270397
0.0,80.0,-0.9075,-5.437380629640608
0.0,80.0,-0.9383333333333334,-5.277697774102756
0.0,80.0,-0.9691666666666667,-5.2704037296467305
0.0,80.0,-1.0,-5.375856294529692
0.0,80.0,-1.02,-5.521228207251555
0.0,80.0,-1.1288888888888888,-7.333972609066152
0.0,80.0,-1.2377777777777779,-9.130308081042399
0.0,80.0,-1.3466666666666667,-7.457885570175028
0.0,80.0,-1.4555555555555555,-8.064568680431956
0.0,80.0,-1.5644444444444443,-11.004680418363737
0.0,80.0,-1.6733333333333333,-10.20518432954043
0.0,80.0,-1.7822222222222222,-9.627826616616666
0.0,80.0,-1.891111111111111,-10.766341034473284
0.0,80.0,-2.0,-19.995653196527417
0.0,160.0,-0.01,-5.049697742708765
0.0,160.0,-0.02,-3.75889200886942
0.0,160.0,-0.03,-3.0286663227913224
0.0,160.0,-0.04,-2.4937573836763494
0.0,160.0,-0.05,-2.1355936091415453
0.0,160.0,-0.060000000000000005,-1.8274599946885133
0.0,160.0,-0.06999999999999999,-1.6290825131578235
0.0,160.0,-0.08,-1.4773797318244377
0.0,160.0,-0.09,-1.3363286892162811
0.0,160.0,-0.09999999999999999,-1.1614115188678342
0.0,160.0,-0.11,-1.0701874556636772
0.0,160.0,-0.12,-1.039881552376629
0.0,160.0,-0.13,-0.994479948039449
0.0,160.0,-0.14,-0.9251158056358553
0.0,160.0,-0.15000000000000002,-0.9595797112136765
0.0,160.0,-0.16,-0.952901510674517
0.0,160.0,-0.17,-0.9333647657478172
0.0,160.0,-0.18000000000000002,-0.9784100471371396
0.0,160.0,-0.19,-1.0075661518955161
0.0,160.0,-0.2,-1.0601035143701327
0.0,160.0,-0.21000000000000002,-1.1118025784740952
0.0,160.0,-0.22,-1.1645490172315915
0.0,160.0,-0.23,-1.2776906681704403
0.0,160.0,-0.24000000000000002,-1.3664896139857
0.0,160.0,-0.25,-1.5338940140382227
0.0,160.0,-0.26,-1.621861188853056
0.0,160.0,-0.29083333333333333,-2.1372196293690138
0.0,160.0,-0.32166666666666666,-2.856133233226547
0.0,160.0,-0.35250000000000004,-3.939428473406695
0.0,160.0,-0.38333333333333336,-6.148455715378542
0.0,160.0,-0.4141666666666667,-6.61594487170003
0.0,160.0,-0.445,-4.565441447800592
0.0,160.0,-0.47583333333333333,-3.7441933283517725
0.0,160.0,-0.5066666666666667,-3.3635510920846863
0.0,160.0,-0.5375000000000001,-3.189314282900216
0.0,160.0,-0.5683333333333334,-3.1451918836115462
0.0,160.0,-0.5991666666666666,-3.263293513498823
0.0,160.0,-0.63,-3.474561501938803
0.0,160.0,-0.6608333333333334,-3.8571356984284644
0.0,160.0,-0.6916666666666667,-4.372111834250103
0.0,160.0,-0.7225,-5.0813156412974845
0.0,160.0,-0.7533333333333334,-6.1771962449994895
0.0,160.0,-0.7841666666666667,-8.466080139739727
0.0,160.0,-0.8150000000000001,-8.769435849382251
0.0,160.0,-0.8458333333333333,-6.728439943599885
0.0,160.0,-0.8766666666666667,-5.947502885603091
0.0,160.0,-0.9075,-5.51824719425808
0.0,160.0,-0.9383333333333334,-5.3647188939233565
0.0,160.0,-0.9691666666666667,-5.405469239042316
0.0,160.0,-1.0,-5.5061965191889914
0.0,160.0,-1.02,-5.665581690052971
0.0,160.0,-1.1288888888888888,-7.497983795313855
0.0,160.0,-1.2377777777777779,-9.273267118568096
0.0,160.0,-1.3466666666666667,-7.582722394951766
0.0,160.0,-1.4555555555555555,-8.242152823435811
0.0,160.0,-1.5644444444444443,-11.224871528520438
0.0,160.0,-1.6733333333333333,-10.49846356352984
0.0,160.0,-1.7822222222222222,-9.86812660083099
0.0,160.0,-1.891111111111111,-11.034158594985762
0.0,160.0,-2.0,-20.2759957519298
1.0986122886681098,20.0,-0.01,-5.184327890003932
1.0986122886681098,20.0,-0.02,-3.851978923796068
1.0986122886681098,20.0,-0.03,-3.13825747673274
1.0986122886681098,20.0,-0.04,-2.623720310432966
1.0986122886681098,20.0,-0.05,-2.1759211602344517
1.0986122886681098,20.0,-0.060000000000000005,-1.9541020476347941
1.0986122886681098,20.0,-0.06999999999999999,-1.7207025118688752
1.0986122886681098,20.0,-0.08,-1.4780127959377625
1.0986122886681098,20.0,-0.09,-1.3085659940773606
1.0986122886681098,20.0,-0.09999999999999999,-1.2714043592364075
1.0986122886681098,20.0,-0.11,-1.1614098152791856
1.0986122886681098,20.0,-0.12,-1.0746852400728895
1.0986122886681098,20.0,-0.13,-0.99330854862598
1.0986122886681098,20.0,-0.14,-1.010989249863267
1.0986122886681098,20.0,-0.15000000000000002,-0.9750928882222923
1.0986122886681098,20.0,-0.16,-0.9480498694214492
1.0986122886681098,20.0,-0.17,-0.9619667477161895
1.0986122886681098,20.0,-0.18000000000000002,-0.998312950585114
1.0986122886681098,20.0,-0.19,-1.02625317524864
1.0986122886681098,20.0,-0.2,-1.0962866908808868
1.0986122886681098,20.0,-0.21000000000000002,-1.1311127795600526
1.0986122886681098,20.0,-0.22,-1.2016627564051707
1.0986122886681098,20.0,-0.23,-1.274336437579716
1.0986122886681098,20.0,-0.24000000000000002,-1.385793520208023
1.0986122886681098,20.0,-0.25,-1.474619504463746
1.0986122886681098,20.0,-0.26,-1.5876333242717442
1.0986122886681098,20.0,-0.29083333333333333,-2.0914240343831145
1.0986122886681098,20.0,-0.32166666666666666,-2.78607621798306
1.0986122886681098,20.0,-0.35250000000000004,-3.869333470409173
1.0986122886681098,20.0,-0.38333333333333336,-6.077479487154949
1.0986122886681098,20.0,-0.4141666666666667,-6.5715787888299
1.0986122886681098,20.0,-0.445,-4.442645190983868
1.0986122886681098,20.0,-0.47583333333333333,-3.643989950103104
1.0986122886681098,20.0,-0.5066666666666667,-3.196419374330218
1.0986122886681098,20.0,-0.5375000000000001,-3.022885537213928
1.0986122886681098,20.0,-0.5683333333333334,-3.0162987004766055
1.0986122886681098,20.0,-0.5991666666666666,-3.135262335002535
1.0986122886681098,20.0,-0.63,-3.3566798392567048
1.0986122886681098,20.0,-0.6608333333333334,-3.6505216486707086
1.0986122886681098,20.0,-0.6916666666666667,-4.160413697562407
1.0986122886681098,20.0,-0.7225,-4.861888074100344
1.0986122886681098,20.0,-0.7533333333333334,-5.998767154932342
1.0986122886681098,20.0,-0.7841666666666667,-8.220068868805223
1.0986122886681098,20.0,-0.8150000000000001,-8.494842489860522
1.0986122886681098,20.0,-0.8458333333333333,-6.4958179387675985
1.0986122886681098,20.0,-0.8766666666666667,-5.692034311361375
1.0986122886681098,20.0,-0.9075,-5.281035471087776
1.0986122886681098,20.0,-0.9383333333333334,-5.106096367507654
1.0986122886681098,20.0,-0.9691666666666667,-5.08631449023264
1.0986122886681098,20.0,-1.0,-5.181762088964398
1.0986122886681098,20.0,-1.02,-5.312278103058721
1.0986122886681098,20.0,-1.1288888888888888,-7.108758494474305
1.0986122886681098,20.0,-1.2377777777777779,-8.830503853065224
1.0986122886681098,20.0,-1.3466666666666667,-7.193241494276759
1.0986122886681098,20.0,-1.4555555555555555,-7.722091394263152
1.0986122886681098,20.0,-1.5644444444444443,-10.652755977787068
1.0986122886681098,20.0,-1.6733333333333333,-9.84880991384018
1.0986122886681098,20.0,-1.7822222222222222,-9.226237968948789
1.0986122886681098,20.0,-1.891111111111111,-10.35668552150383
1.0986122886681098,20.0,-2.0,-19.5222022170173
1.0986122886681098,40.0,-0.01,-5.120049211654789
1.0986122886681098,40.0,-0.02,-3.869962736667952
1.0986122886681098,40.0,-0.03,-3.0764044788513756
1.0986122886681098,40.0,-0.04,-2.5929143345684573
1.0986122886681098,40.0,-0.05,-2.2130833083335664
1.0986122886681098,40.0,-0.060000000000000005,-1.9441485795264846
1.0986122886681098,40.0,-0.06999999999999999,-1.701579231411112
1.0986122886681098,40.0,-0.08,-1.4862597766355414
1.0986122886681098,40.0,-0.09,-1.3539101290088669
1.0986122886681098,40.0,-0.09999999999999999,-1.2136089852992742
1.0986122886681098,40.0,-0.11,-1.1321650834725625
1.0986122886681098,40.0,-0.12,-1.075789396982919
1.0986122886681098,40.0,-0.13,-0.9974448848216675
1.0986122886681098,40.0,-0.14,-0.9882996133119879
1.0986122886681098,40.0,-0.15000000000000002,-0.9608412303206801
1.0986122886681098,40.0,-0.16,-0.9781279969276695
1.0986122886681098,40.0,-0.17,-0.9793174041637488
1.0986122886681098,40.0,-0.18000000000000002,-1.0161108512630488
1.0986122886681098,40.0,-0.19,-1.016543877264073
1.0986122886681098,40.0,-0.2,-1.1064999815345555
1.0986122886681098,40.0,-0.21000000000000002,-1.1262337265520965
1.0986122886681098,40.0,-0.22,-1.2170657508361054
1.0986122886681098,40.0,-0.23,-1.2738589109450253
1.0986122886681098,40.0,-0.24000000000000002,-1.379359907860268
1.0986122886681098,40.0,-0.25,-1.468713957926083
1.0986122886681098,40.0,-0.26,-1.615735047330858
1.0986122886681098,40.0,-0.29083333333333333,-2.152710734188492
1.0986122886681098,40.0,-0.32166666666666666,-2.825462125361404
1.0986122886681098,40.0,-0.35250000000000004,-3.9291228445784756
1.0986122886681098,40.0,-0.38333333333333336,-6.127407302843404
1.0986122886681098,40.0,-0.4141666666666667,-6.570757998086263
1.0986122886681098,40.0,-0.445,-4.4843337462055874
1.0986122886681098,40.0,-0.47583333333333333,-3.7084065805260704
1.0986122886681098,40.0,-0.5066666666666667,-3.315215249270752
1.0986122886681098,40.0,-0.5375000000000001,-3.1146295624524742
1.0986122886681098,40.0,-0.5683333333333334,-3.1135538111753784
1.0986122886681098,40.0,-0.5991666666666666,-3.2029053806300443
1.0986122886681098,40.0,-0.63,-3.401947212272938
1.0986122886681098,40.0,-0.6608333333333334,-3.729268466510731
1.0986122886681098,40.0,-0.6916666666666667,-4.235798059734693
1.0986122886681098,40.0,-0.7225,-5.003895747067424
1.0986122886681098,40.0,-0.7533333333333334,-6.04864152295299
1.0986122886681098,40.0,-0.7841666666666667,-8.332304796925925
1.0986122886681098,40.0,-0.8150000000000001,-8.595055328485
1.0986122886681098,40.0,-0.8458333333333333,-6.544961776627382
1.0986122886681098,40.0,-0.8766666666666667,-5.831819633543021
1.0986122886681098,40.0,-0.9075,-5.41035734408673
1.0986122886681098,40.0,-0.9383333333333334,-5.2118274450403685
1.0986122886681098,40.0,-0.9691666666666667,-5.2328772301405575
1.0986122886681098,40.0,-1.0,-5.27522202589037
1.0986122886681098,40.0,-1.02,-5.427692695211172
1.0986122886681098,40.0,-1.1288888888888888,-7.237794542235615
1.0986122886681098,40.0,-1.2377777777777779,-9.029364248257181
1.0986122886681098,40.0,-1.3466666666666667,-7.298739939425993
1.0986122886681098,40.0,-1.4555555555555555,-7.88418705088589
1.0986122886681098,40.0,-1.5644444444444443,-10.854925964110015
1.0986122886681098,40.0,-1.6733333333333333,-10.068434279343716
1.0986122886681098,40.0,-1.7822222222222222,-9.446880521366024
1.0986122886681098,40.0,-1.891111111111111,-10.587400905243868
1.0986122886681098,40.0,-2.0,-19.795390819656742
1.0986122886681098,80.0,-0.01,-5.145634176425199
1.0986122886681098,80.0,-0.02,-3.820991435481759
1.0986122886681098,80.0,-0.03,-3.064444652747453
1.0986122886681098,80.0,-0.04,-2.5996609446670065
1.0986122886681098,80.0,-0.05,-2.20788968930594
1.0986122886681098,80.0,-0.060000000000000005,-1.8883804800029051
1.0986122886681098,80.0,-0.06999999999999999,-1.706067148545044
1.0986122886681098,80.0,-0.08,-1.5263972392412455
1.0986122886681098,80.0,-0.09,-1.3605949747390353
1.0986122886681098,80.0,-0.09999999999999999,-1.2318316726859246
1.0986122886681098,80.0,-0.11,-1.1573352535901813
1.0986122886681098,80.0,-0.12,-1.0612286665631694
1.0986122886681098,80.0,-0.13,-1.0198107378652106
1.0986122886681098,80.0,-0.14,-0.9862524116815901
1.0986122886681098,80.0,-0.15000000000000002,-0.9737142947238969
1.0986122886681098,80.0,-0.16,-0.9344254411049311
1.0986122886681098,80.0,-0.17,-0.9949197738742513
1.0986122886681098,80.0,-0.18000000000000002,-1.0537873346154907
1.0986122886681098,80.0,-0.19,-1.0171912770638645
1.0986122886681098,80.0,-0.2,-1.1064150003907518
1.0986122886681098,80.0,-0.21000000000000002,-1.155436521574066
1.0986122886681098,80.0,-0.22,-1.2041614074103884
1.0986122886681098,80.0,-0.23,-1.347815029418267
1.0986122886681098,80.0,-0.24000000000000002,-1.439282512060853
1.0986122886681098,80.0,-0.25,-1.5584110143263525
1.0986122886681098,80.0,-0.26,-1.6688781358202158
1.0986122886681098,80.0,-0.29083333333333333,-2.1393964734346165
1.0986122886681098,80.0,-0.32166666666666666,-2.844832989140167
1.0986122886681098,80.0,-0.35250000000000004,-3.9356253088464435
1.0986122886681098,80.0,-0.38333333333333336,-6.185039522993815
1.0986122886681098,80.0,-0.4141666666666667,-6.691201542417791
1.0986122886681098,80.0,-0.445,-4.5442886652625285
1.0986122886681098,80.0,-0.47583333333333333,-3.7564292147875094
1.0986122886681098,80.0,-0.5066666666666667,-3.342593316281312
1.0986122886681098,80.0,-0.5375000000000001,-3.1623606691727275
1.0986122886681098,80.0,-0.5683333333333334,-3.1518467245471884
1.0986122886681098,80.0,-0.5991666666666666,-3.243943265988655
1.0986122886681098,80.0,-0.63,-3.477540934449174
1.0986122886681098,80.0,-0.6608333333333334,-3.8199855809618013
1.0986122886681098,80.0,-0.6916666666666667,-4.344553329890999
1.0986122886681098,80.0,-0.7225,-5.048423168239962
1.0986122886681098,80.0,-0.7533333333333334,-6.141828726281781
1.0986122886681098,80.0,-0.7841666666666667,-8.412644697177006
1.0986122886681098,80.0,-0.8150000000000001,-8.710792163545177
1.0986122886681098,80.0,-0.8458333333333333,-6.670721238667447
1.0986122886681098,80.0,-0.8766666666666667,-5.90400466498037
1.0986122886681098,80.0,-0.9075,-5.513293547678061
1.0986122886681098,80.0,-0.9383333333333334,-5.323737027017796
1.0986122886681098,80.0,-0.9691666666666667,-5.362062793548057
1.0986122886681098,80.0,-1.0,-5.455901105001884
1.0986122886681098,80.0,-1.02,-5.592706775725229
1.0986122886681098,80.0,-1.1288888888888888,-7.444496989926165
1.0986122886681098,80.0,-1.2377777777777779,-9.189704314672094
1.0986122886681098,80.0,-1.3466666666666667,-7.4733153913385335
1.0986122886681098,80.0,-1.4555555555555555,-8.099638224706622
1.0986122886681098,80.0,-1.5644444444444443,-11.059106989512747
1.0986122886681098,80.0,-1.6733333333333333,-10.269912419167829
1.0986122886681098,80.0,-1.7822222222222222,-9.659403340676187
1.0986122886681098,80.0,-1.891111111111111,-10.820281641079013
1.0986122886681098,80.0,-2.0,-20.029228615961486
1.0986122886681098,160.0,-0.01,-5.128905858807625
1.0986122886681098,160.0,-0.02,-3.8349582378066525
1.0986122886681098,160.0,-0.03,-3.087266399652028
1.0986122886681098,160.0,-0.04,-2.6004245025622525
1.0986122886681098,160.0,-0.05,-2.216862029418856
1.0986122886681098,160.0,-0.060000000000000005,-1.9202660627233272
1.0986122886681098,160.0,-0.06999999999999999,-1.671606115948095
1.0986122886681098,160.0,-0.08,-1.4734055690001138
1.0986122886681098,160.0,-0.09,-1.3915397499723139
1.0986122886681098,160.0,-0.09999999999999999,-1.2415041425806665
1.0986122886681098,160.0,-0.11,-1.1804022632958993
1.0986122886681098,160.0,-0.12,-1.0817278407751183
1.0986122886681098,160.0,-0.13,-1.0443685490638892
1.0986122886681098,160.0,-0.14,-1.0458934224310554
1.0986122886681098,160.0,-0.15000000000000002,-0.9738034721748424
1.0986122886681098,160.0,-0.16,-1.0020375989849808
1.0986122886681098,160.0,-0.17,-1.0118399208424744
1.0986122886681098,160.0,-0.18000000000000002,-1.0468436073391472
1.0986122886681098,160.0,-0.19,-1.0754799945282714
1.0986122886681098,160.0,-0.2,-1.1032074620191499
1.0986122886681098,160.0,-0.21000000000000002,-1.1772695707022074
1.0986122886681098,160.0,-0.22,-1.2410560288456218
1.0986122886681098,160.0,-0.23,-1.3271945436633037
1.0986122886681098,160.0,-0.24000000000000002,-1.407885771174079
1.0986122886681098,160.0,-0.25,-1.5546769094682955
1.0986122886681098,160.0,-0.26,-1.705354591584774
1.0986122886681098,160.0,-0.29083333333333333,-2.153941190065122
1.0986122886681098,160.0,-0.32166666666666666,-2.8933173498934255
1.0986122886681098,160.0,-0.35250000000000004,-3.9545041916099786
1.0986122886681098,160.0,-0.38333333333333336,-6.189036318734282
1.0986122886681098,160.0,-0.4141666666666667,-6.691816287584622
1.0986122886681098,160.0,-0.445,-4.586868689998281
1.0986122886681098,160.0,-0.47583333333333333,-3.76071632143454
1.0986122886681098,160.0,-0.5066666666666667,-3.367258707270345
1.0986122886681098,160.0,-0.5375000000000001,-3.2363038127437265
1.0986122886681098,160.0,-0.5683333333333334,-3.2169738426847028
1.0986122886681098,160.0,-0.5991666666666666,-3.3074616335229794
1.0986122886681098,160.0,-0.63,-3.5731532991764103
1.0986122886681098,160.0,-0.6608333333333334,-3.9023147918245065
1.0986122886681098,160.0,-0.6916666666666667,-4.413640853409173
1.0986122886681098,160.0,-0.7225,-5.1254909151641295
1.0986122886681098,160.0,-0.7533333333333334,-6.253644171377307
1.0986122886681098,160.0,-0.7841666666666667,-8.556333571208386
1.0986122886681098,160.0,-0.8150000000000001,-8.844138371090816
1.0986122886681098,160.0,-0.8458333333333333,-6.807528035925641
1.0986122886681098,160.0,-0.8766666666666667,-6.016171572338061
1.0986122886681098,160.0,-0.9075,-5.629391121175139
1.0986122886681098,160.0,-0.9383333333333334,-5.418441777333806
1.0986122886681098,160.0,-0.9691666666666667,-5.4212151190663995
1.0986122886681098,160.0,-1.0,-5.574621288718245
1.0986122886681098,160.0,-1.02,-5.684289295400617
1.0986122886681098,160.0,-1.1288888888888888,-7.549241834194998
1.0986122886681098,160.0,-1.2377777777777779,-9.34019710983411
1.0986122886681098,160.0,-1.3466666666666667,-7.658063568814628
1.0986122886681098,160.0,-1.4555555555555555,-8.270118338774838
1.0986122886681098,160.0,-1.5644444444444443,-11.273504383830167
1.0986122886681098,160.0,-1.6733333333333333,-10.489171366713787
1.0986122886681098,160.0,-1.7822222222222222,-9.942642661376347
1.0986122886681098,160.0,-1.891111111111111,-11.067714139934731
1.0986122886681098,160.0,-2.0,-20.268384103283967
1.6094379124341003,20.0,-0.01,-5.187870360776374
1.6094379124341003,20.0,-0.02,-3.8469706637671925
1.6094379124341003,20.0,-0.03,-3.1268137865304424
1.6094379124341003,20.0,-0.04,-2.60830514480685
1.6094379124341003,20.0,-0.05,-2.2451830475511705
1.6094379124341003,20.0,-0.060000000000000005,-1.9573030288208968
1.6094379124341003,20.0,-0.06999999999999999,-1.7398977294225901
1.6094379124341003,20.0,-0.08,-1.531686320513337
1.6094379124341003,20.0,-0.09,-1.4092393624341837
1.6094379124341003,20.0,-0.09999999999999999,-1.2602026031219318
1.6094379124341003,20.0,-0.11,-1.1578803772428061
1.6094379124341003,20.0,-0.12,-1.0997270041352545
1.6094379124341003,20.0,-0.13,-1.059148757373505
1.6094379124341003,20.0,-0.14,-1.007714077896828
1.6094379124341003,20.0,-0.15000000000000002,-1.0019020736026778
1.6094379124341003,20.0,-0.16,-0.9704269596216806
1.6094379124341003,20.0,-0.17,-1.0328314720781238
1.6094379124341003,20.0,-0.18000000000000002,-1.0230432577111845
1.6094379124341003,20.0,-0.19,-1.0889342370490984
1.6094379124341003,20.0,-0.2,-1.1242312725063306
1.6094379124341003,20.0,-0.21000000000000002,-1.1246133412725805
